filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev
1880103.jpg	268	153	78.1536	8	21.0737	35	55.9498
1880104.jpg	269	211	70.2782	2	13.8074	42	22.9421
1880105.jpg	270	238	72.0897	6	11.7737	35	6.7882
1880106.jpg	271	106	70.9284	3	11.1257	28	64.3044
1880107.jpg	272	86	58.6647	14	22.9385	35	9.6721
1880109.jpg	273	143	62.2785	8	24.224	28	6.4624
188011.jpg	274	104	71.6862	83	74.9611	26	67.5483
1880110.jpg	275	88	49.8002	12	24.772	34	21.7415
1880111.jpg	276	155	72.0589	7	21.5484	34	12.2279
1880112.jpg	277	89	57.5043	12	19.0048	42	80.3625
1880113.jpg	278	101	49.8253	12	19.5255	34	19.1895
1880114.jpg	279	121	66.6725	9	20.2397	34	5.2204
1880115.jpg	280	127	63.2327	8	22.8419	34	32.7292
1880116.jpg	281	91	56.1855	5	14.1285	34	32.4505
1880117.jpg	282	151	70.0115	8	20.8511	34	10.1101
1880118.jpg	283	101	59.0905	14	28.4259	35	6.6774
1880119.jpg	284	89	68.8918	6	23.9532	28	10.5504
1880121.jpg	285	67	48.6618	10	22.0803	42	17.4681
188015.jpg	286	182	72.9229	6	50.5363	42	83.9129
1880172.jpg	286	182	72.9229	6	50.5363	42	83.9129
1880173.jpg	288	233	72.2342	6	15.6686	35	8.3886
1880174.jpg	289	216	60.8235	6	14.8268	35	41.6854
1880175.jpg	290	231	74.8204	6	31.8537	34	8.8719
1880176.jpg	291	181	72.9977	6	10.6494	42	11.1909
1880185.jpg	292	237	60.5339	6	11.0733	35	4.6581
1880186.jpg	293	241	53.9684	6	10.8229	35	2.2698
1880187.jpg	294	226	71.152	6	11.4427	34	4.815
1880188.jpg	295	228	67.5768	6	12.2588	35	7.9821
1880189.jpg	296	196	62.2472	7	23.4705	34	5.0635
1880194.jpg	297	104	76.6543	9	21.1273	35	57.7049
1880196.jpg	298	207	77.9983	3	31.2294	42	65.5838
1880199.jpg	299	237	74.3438	6	9.4311	35	9.4052
1880205.jpg	300	239	74.5915	6	11.9546	35	5.4165
1880206.jpg	301	225	66.9143	6	24.2673	35	6.8221
1880207.jpg	302	220	67.7507	5	9.3884	34	6.2587
1880208.jpg	303	215	66.6874	8	29.1789	34	7.9951
1880209.jpg	304	231	71.4665	6	15.376	35	9.508
1880210.jpg	305	227	77.7526	6	28.8724	34	6.665
1880214.jpg	306	233	56.5133	6	24.6121	35	15.435
1880215.jpg	307	219	73.4363	5	34.0028	34	6.2741
1880217.jpg	308	211	64.6651	7	24.9849	35	4.2586
1880219.jpg	309	221	58.4055	14	12.2076	176	78.6504
1880227.jpg	310	149	57.8868	3	15.184	42	19.8062
1880239.jpg	310	149	57.8868	3	15.184	42	19.8062
188027.jpg	310	149	57.8868	3	15.184	42	19.8062
1880270.jpg	313	101	62.3878	55	26.9054	148	58.656
1880329.jpg	314	213	61.3526	7	28.8479	35	8.5392
188035.jpg	315	233	68.2086	8	36.8125	35	30.1144
18803525.jpg	316	185	58.1335	6	36.1033	28	21.0063
18803562.jpg	317	255	50.8614	0	40.454	0	40.6667
1880357.jpg	318	35	63.2855	73	101.4413	148	38.114
1880359.jpg	319	216	77.4397	2	20.7447	42	8.1145
1880360.jpg	320	230	74.0467	6	28.2595	34	2.9167
18803604.jpg	321	255	56.4514	0	66.9841	0	36.6758
18803605.jpg	322	255	54.4259	1	80.1966	22	32.581
18803606.jpg	323	255	56.1319	0	46.5657	0	54.2914
18803626.jpg	324	255	98.3721	0	29.409	0	56.7877
18803628.jpg	325	29	61.2155	42	13.5929	221	53.0294
18803702y.jpg	326	255	68.3429	0	44.522	0	61.7387
18803711n.jpg	327	255	69.1382	0	15.8391	0	47.7304
18803787.jpg	328	241	70.9122	0	2.583	0	93.8675
188039.jpg	329	211	71.4752	6	22.1628	34	49.6607
188041.jpg	330	203	56.9162	7	40.3854	35	27.8027
188042.jpg	331	220	77.8522	6	30.1773	34	10.8712
188045.jpg	332	217	73.8438	2	32.7719	34	78.5227
188048.jpg	333	240	70.8563	5	14.2323	35	43.1585
188054.jpg	334	170	63.5285	25	27.496	228	101.8552
188055.jpg	335	199	74.7916	35	24.0164	203	36.5699
188062.jpg	336	221	78.3218	6	18.4516	34	6.5266
188063.jpg	337	170	74.4596	3	17.1697	28	21.2445
188064.jpg	338	75	65.2916	7	31.504	24	79.4881
188065.jpg	339	169	82.8865	3	38.2249	42	44.3467
188066.jpg	340	24	58.9787	7	28.2696	22	58.135
188067.jpg	341	102	64.3421	56	34.3757	8	108.4307
188068.jpg	342	177	70.3233	6	10.9357	34	5.8982
188069.jpg	343	60	56.8958	93	34.8875	7	54.3696
18806ab.jpg	344	2	85.6049	34	68.0024	11	32.8857
18807.jpg	345	255	83.7531	0	54.3939	0	26.4831
188071.jpg	346	0	57.9524	0	46.3341	0	33.6322
188073.jpg	347	216	61.3462	7	19.8404	35	2.9484
188074.jpg	348	208	68.5687	83	32.3359	142	81.9901
188075.jpg	349	227	71.6457	6	32.8254	35	43.3366
188076.jpg	350	240	70.9886	6	12.6637	35	6.3236
188077.jpg	351	218	69.361	2	9.1364	42	22.858
1880772.jpg	352	214	22.1646	64	46.9328	24	1.149
188093.jpg	353	110	46.9397	55	38.5613	71	45.324
18810428965.jpg	354	15	66.2252	34	24.4771	170	66.3795
188107013368.jpg	355	0	75.7737	0	67.9308	0	32.5749
188107099.jpg	356	243	58.3549	8	52.5995	7	37.3129
18810824102.jpg	357	137	48.2951	53	28.251	220	101.8632
18810824111.jpg	358	243	70.6573	0	12.3549	0	77.8338
18810824124.jpg	359	244	67.0909	0	9.7719	0	57.4499
188202111.jpg	360	245	65.9313	0	12.8579	0	43.5624
1882112755a.jpg	361	96	31.4614	5	5.658	106	58.3666
1882112755b.jpg	362	96	31.4614	5	5.658	106	58.3666
18830106143.jpg	363	61	71.5592	3	14.4408	42	47.9868
1883010640.jpg	364	166	69.3331	0	8.7271	0	49.032
188401262b.jpg	365	245	41.6424	0	9.8163	0	89.848
1884061442.jpg	366	46	61.68	20	56.045	18	37.3165
1884101150.jpg	367	0	75.5036	0	62.7286	0	25.3798
18841210247.jpg	368	71	89.3275	56	26.6577	212	100.0321
18841210302.jpg	369	0	69.8267	0	54.9957	0	21.0443
188507134.jpg	370	202	66.3867	5	12.5973	28	7.08
18851101423.jpg	371	1	58.4317	0	60.5075	0	23.9491
1885110167.jpg	372	0	65.2614	0	83.5722	0	24.2122
188604011368.jpg	373	255	56.2827	0	84.1463	0	23.2239
188604011371.jpg	374	255	64.0634	0	62.7589	0	37.6583
188604011372.jpg	375	248	57.6028	91	70.0473	16	24.9497
188604011405.jpg	376	252	56.0126	2	63.3201	233	103.9397
188604011411.jpg	377	252	67.651	2	57.5234	233	105.6346
188604011412.jpg	378	252	64.0499	2	62.5278	233	106.0637
188604011413.jpg	379	252	51.3986	2	71.0588	233	105.3969
188604011428.jpg	380	255	62.3172	0	61.288	0	24.0048
188604011431.jpg	381	163	45.7826	84	60.7398	18	36.4747
188604011435.jpg	382	252	59.1174	2	66.4088	233	105.1509
188604011438.jpg	383	255	66.3149	0	69.9499	0	23.1841
188604011440.jpg	384	255	60.8281	0	58.3194	0	24.2717
188604011444.jpg	385	255	71.0391	3	69.32	18	31.6541
188604011446.jpg	386	255	61.1207	11	68.5644	17	29.2575
188604011447.jpg	387	255	63.2255	0	67.7441	0	28.1837
188604011448.jpg	388	252	47.9822	2	72.287	233	103.5859
188604011452.jpg	389	255	78.0113	0	65.703	0	28.1085
188604011521.jpg	390	0	99.7172	0	46.9764	0	23.3278
188604011522.jpg	391	0	60.9269	0	54.2469	0	24.7915
188604011566.jpg	392	255	52.5176	0	59.3833	0	29.4585
1886060562.jpg	393	148	80.0232	5	13.4865	42	28.4739
188606181.jpg	394	204	71.3617	11	30.3863	26	8.0646
188606183.jpg	395	196	68.8435	4	34.6057	34	68.4687
1886100521.jpg	396	157	49.1999	116	56.2939	23	17.3648
1886100522.jpg	397	199	40.0316	109	56.1256	22	29.6994
188610055.jpg	398	255	41.5347	0	69.5265	0	24.5604
188702121.jpg	399	241	64.0742	0	14.0866	0	65.6908
18870307I795.jpg	400	156	57.7763	20	43.6496	29	51.4169
188707051.jpg	401	203	72.2846	0	10.8004	0	92.1427
188707052.jpg	402	244	76.2366	0	10.0569	0	36.5058
18870717144.jpg	403	224	80.4079	2	54.1441	28	70.8063
1887071748.jpg	404	89	69.7479	33	27.5939	23	73.898
1887071749.jpg	405	192	74.1784	7	18.9066	34	2.8918
1887071750.jpg	406	151	74.1359	9	21.5122	34	55.5281
1887071754.jpg	407	39	71.5438	127	59.0448	25	96.6528
1887071771.jpg	408	104	86.8216	47	20.401	187	104.5183
1887071772.jpg	409	160	54.0201	73	42.9641	244	85.575
1887071773.jpg	410	130	84.0086	9	17.1647	135	60.5424
1887073052.jpg	411	194	72.1023	2	4.0874	28	111.8149
188803103.jpg	412	48	46.1737	25	23.809	18	36.0627
18880601102.jpg	413	255	57.5151	0	75.0758	0	30.3826
18880601104.jpg	414	254	77.2357	2	74.0881	13	24.3887
18880601107.jpg	415	255	60.8128	0	78.9393	0	27.4868
18880601124.jpg	416	252	43.5998	2	29.2448	11	37.8377
18880601126.jpg	417	255	44.6072	3	48.6722	22	35.1997
18880601127.jpg	418	255	81.6641	0	74.6948	0	23.8563
18880601128.jpg	419	255	55.7089	1	61.7302	15	25.4051
18880601129.jpg	420	244	57.486	121	78.8582	16	23.4781
18880601130.jpg	421	255	51.3723	0	59.7175	0	27.4458
18880601140.jpg	422	255	46.5587	0	59.5796	0	24.8781
1888060119.jpg	423	150	58.5191	27	26.5734	158	88.7643
18880601695.jpg	424	255	31.3643	3	51.7125	23	27.9356
1888060184.jpg	425	255	65.7444	0	31.8768	0	22.7697
1888060198.jpg	426	178	71.7067	116	79.3977	9	25.5161
1888060199.jpg	427	255	61.1785	0	56.0595	0	19.9754
188808063.jpg	428	227	79.1716	8	24.1743	34	4.2612
188809014.jpg	429	175	67.2882	59	40.4814	142	80.1626
188901123.jpg	430	253	71.4033	2	27.5827	21	86.7159
188903141.jpg	431	255	69.5015	0	58.2879	0	28.3262
188907031.jpg	432	140	63.1187	70	63.0092	130	57.5417
188907035.jpg	433	176	59.9574	30	40.1173	176	57.7802
188910161.jpg	434	129	65.8803	17	25.8643	59	54.7634
188910163.jpg	435	231	77.5349	10	30.5544	34	7.5033
188911091.jpg	436	205	64.446	6	24.7454	34	8.9184
1890041226.jpg	437	140	42.3457	128	56.0909	22	74.1402
189007301.jpg	437	140	42.3457	128	56.0909	22	74.1402
189008051.jpg	439	194	71.0368	9	32.0728	34	5.8656
